(40, 34)
468136,709408,76500,395192,-73736,-456151,168967,-241265,-45047,-31387,-470332,489757,-40296,-48843,-578492,-418001,5165,-658126,270359,69539,-360990,-714800,-186109,-795164,-478954,551942,506588,423994,-67485,-4550,486993,-648765,-26394,512172,464116,589642,70256,577889,-350850,22820
582636,426714,80621,-580734,-508688,-530438,637660,-389918,-16097,603873,-479706,162449,-17168,-738446,-509503,621260,-62459,-486275,-408439,-64729,299295,72894,-738455,-674954,132883,-10582,-412609,283349,40038,-61990,-696278,281804,-372548,-320137,-589332,-25517,11959,-594909,500372,100387
300242,473142,42142,-323437,647693,553720,233721,373882,-58182,-206016,-711514,551438,-87622,601989,-440766,630846,45220,575888,-546292,9047,318131,-611522,-91150,428640,-478694,-429583,506949,502416,46623,-65387,577736,555180,-275651,-328671,-826282,9860,-5043,-537906,84828,786358
667025,-432424,56480,519703,-218043,-309072,620896,464159,27769,-91040,527734,373810,-72351,538200,-602244,694052,43247,523112,-504233,5073,251674,-524491,587292,464424,932816,9241,320076,396281,-8256,-29851,238105,293397,-460635,467005,523442,-426218,75037,-456453,-527657,837006
-511419,710237,26407,-35393,-544832,506386,675774,537093,52882,563623,-645297,-560823,-60329,83454,580122,-442273,-46720,-632439,-410986,14466,-380438,564764,-519127,-588041,-610082,-314717,-509940,-524695,11380,-39498,-716385,-502970,734351,-274940,317856,276280,-27636,-646733,-100651,-598358
95247,-220225,11146,453522,-596934,-354187,584236,171906,-48565,252933,495968,327819,-28786,265766,486267,-661491,81097,596364,622844,33574,-46607,577038,596221,516507,729260,142437,647870,473607,-91641,71404,-577524,-511699,-509143,556219,539490,457542,31604,-120338,839681,-217962
32327,-447538,97082,123235,-380687,-401594,603152,-579161,-119993,378469,402359,393687,49747,67441,103995,-587916,123194,646092,647541,63320,43415,657190,-825135,670757,-415135,-381388,535175,469764,-72566,9744,364961,-513969,738501,623402,540075,-69406,32777,859132,-46343,-313239
-447495,-551243,39003,65160,-319252,-288704,534691,-320777,44480,-377721,-777586,85706,-133753,492545,-241056,411148,-100679,577294,-521609,26023,-362466,-207187,461531,479104,361959,363939,-573007,-835321,68459,-73451,-528003,549376,-346123,-483984,-757025,-62244,6221,-484002,684666,712999
-326401,-456425,153439,476398,37948,-456302,474437,-492301,-39539,-549618,97169,-456768,139279,211904,-103511,704814,98069,738439,-257848,161156,367191,6541,101435,628571,408341,-123606,762574,415361,-211636,127277,579973,-418101,857120,607623,425636,-528074,144313,808042,-470590,89482
605092,-467082,32189,661456,630917,-203708,648795,628871,-102854,616777,283328,482853,53628,519293,-645040,-143060,18375,512285,25199,17224,-150061,-568400,370591,573508,-93550,-91450,46543,448960,-43255,21337,476868,529771,-300550,422163,523025,750453,-15738,-459191,543752,-569077
-463001,689174,78882,-308522,161360,738508,609773,654677,-57244,543770,-445735,-601787,-35776,-13792,640196,-488141,23653,-830196,89588,49465,238138,520122,-578306,489970,476851,-358717,611997,507234,-57736,-12096,-706045,-607497,446345,-147422,373771,9997,-9126,-600251,250423,699005
-215987,-474677,114000,643002,468971,-576161,454810,-509826,-12774,-359180,562035,-107976,45705,60757,279014,318064,48721,702018,21033,42876,61451,26681,601102,569183,-21835,-8259,709761,426642,-85043,121911,610171,-445218,855589,436780,370542,-227409,29186,843108,-384244,-303282
-613523,768235,43872,-472177,-175718,-414480,-449872,-616813,-47447,-95337,-741253,209349,58152,-474606,-363265,207779,28185,-701824,-514612,134500,-248677,-662295,-262450,-768784,-399451,477023,609521,450882,14598,-37148,352492,328353,723248,483142,497087,-127864,20651,621490,-68371,348869
510735,623850,85935,387203,432605,-485972,-325404,-572861,-35378,168276,314274,428641,-70047,-128221,-464289,-378173,65926,-620021,455695,112884,-271866,-649785,222758,-703326,-375806,478106,561225,431846,-4887,-8597,484097,-630960,-148304,581836,439758,614201,77025,525260,-419327,469811
-497369,-521722,73759,-632248,423359,-463561,-760536,-556747,-50497,443684,550198,636810,16242,-379413,310020,443830,69343,703229,207427,100979,424693,654168,-363634,530663,-526458,-280397,620281,-2439,-43658,70514,573714,6559,499666,535148,-503913,-467204,48170,795652,814601,550243
-242055,-452002,77596,-339988,748061,-531321,-309731,-474694,35275,452883,435934,83308,-23908,-484719,602842,-408685,-102461,547389,479791,-20249,-107105,738167,-228186,394525,-492785,-43712,-504478,-778495,12726,37495,391175,-662351,-328487,-353207,-738686,60860,-42638,-614951,570291,-458267
631686,565604,-2669,-525244,-435902,-520559,190639,-556639,-33848,-115882,-302180,438235,-42113,619605,-635858,-335920,35132,-726507,536798,30040,-281049,-596011,-547329,-766100,-440976,-319536,-787284,467051,-25253,65586,-160440,257728,800311,451486,411491,-477945,26752,636177,-514927,212509
-574855,-437234,-78367,497218,510917,545220,-279870,562352,181553,-258064,447036,157132,-109348,-525180,643154,675692,-111214,504812,512425,-51832,424968,-65210,400962,302144,-320253,299083,-560493,-707897,37896,-130955,391559,-567730,-531058,-313537,330967,5102,-51657,662134,-665787,-487645
-64207,618784,-115585,-505644,-449607,474989,499294,-272918,84530,596596,318561,-250492,-83032,-616387,-533073,707942,-11894,-541418,566636,-37462,227318,373513,-613367,-647567,544222,250540,-103207,-560403,9739,-35815,-546946,383602,-399550,-414835,-645174,654979,-30316,-512152,404781,-499338
486181,-511126,-31478,-362822,104996,-368419,-799226,-321922,95161,637701,287967,77239,-114975,439026,-460678,-647890,-83441,-568201,-590080,-50171,-265579,467973,601637,486386,617812,369121,-216703,416276,92432,-93283,-663016,489150,-367201,-366196,-728556,-488454,-45954,-514468,579654,718586
-550192,-477092,52264,-549881,-662938,379570,-713852,-538455,26537,-376726,521475,-602906,-84081,-628661,539665,-708239,-14613,-564939,178488,-32799,-337685,662993,93161,341539,-171062,-280203,-576176,-753679,-52193,-1225,-865528,-680357,266975,321006,1628,-395818,21277,-368754,-637154,-500020
-583662,582191,-122821,-599519,-344384,687530,-543176,-316709,94491,543645,604612,542758,-121878,-518116,-394433,418553,-82203,-471235,599246,-93188,414050,-464588,-559668,-604980,-344430,386857,478082,370380,99740,-80194,430645,530455,-400761,-376305,-448687,-507163,-96803,553694,484254,490394
-491828,-430585,-22340,447118,498839,388850,-420502,733864,48478,-533436,437325,-440609,-50785,-435375,598022,477547,-10467,-8665,676224,11064,-40587,-551052,533787,95279,-408150,-454003,-560145,-709325,-2750,-13794,-92526,754114,660355,-441353,-662614,-579248,-36672,-377579,-652401,-441327
646149,-505389,-22650,560705,536788,420234,-243776,665223,3988,-375875,547969,-548734,-112282,-405463,599028,-555497,-151261,-729974,557036,-1607,-30752,-434931,471825,-827434,-312990,-274481,-576836,300359,-485,-107220,-725354,-227497,-375916,-461394,380412,-241934,-17981,348748,-590272,-485579
262561,-335980,-68771,459609,709929,-572382,-80369,-459310,97961,-101336,380994,-354354,-106732,-493280,569263,558894,-1502,630728,-668764,-125783,-213113,588263,482783,377437,-399874,381494,-325425,-801152,-17771,-39971,521436,-634533,-267081,-364050,-794658,429905,-99409,-598082,393060,-362591
462440,674874,28981,504472,626770,-460560,-32651,371348,26507,633875,-550671,368655,37726,427305,-420043,-377657,-29039,-651332,226107,47421,-144804,-670231,-449274,-606432,-492390,327377,281364,444031,-30797,-60159,435557,371868,808042,348628,383022,594571,2765,574122,-81483,370838
217263,-418338,68737,-119544,744019,-536454,519492,-435017,-77248,151841,415400,-540201,-20877,-485999,703538,353073,2951,301421,-771982,1657,-337448,-223726,413236,390078,-383040,-322376,-654095,-854294,-30300,-46184,453049,-557633,743765,-205606,400214,-403622,3248,-662667,-650101,-493018
767676,-550179,102605,-157420,-645757,-336685,631158,-251882,-73926,534043,649650,598177,25914,658790,-684896,-366878,22737,647259,-77289,137353,-195889,391928,-239342,527771,865885,-447730,-533807,576349,-151977,-11625,-817708,-171906,114774,396396,604620,-417246,106127,367894,-77432,384265
438220,-524995,-13005,-453339,-450168,-567987,-680648,-487048,41411,577237,-558914,-370918,-109366,220618,-492240,348287,-104616,-137549,-593002,-25728,-596826,449810,-636086,-411789,460845,342540,-444666,-698123,26157,-165622,-571502,476626,-356742,-401275,-663903,637011,-9026,-475373,576133,637994
-614575,549338,-109728,574312,-494890,597024,-553738,475669,109105,-212029,442102,565731,-124267,-383445,-562326,151128,-151089,-571479,494447,-36340,273195,-505406,16240,-563962,-406030,493391,302291,333203,50321,-126989,319210,417155,-494630,-308006,411752,605746,-61146,503254,-693407,-582602
