/usr/bin/python2.7 /home/jdwang/PycharmProjects/digitRecognition/int_weight_predict/int_cnn.py
hidden1 time:0.005972s
hidden1 time:0.000282s
hidden1 time:0.006996s
hidden1 time:0.004443s
hidden1 time:0.000176s
hidden1 time:0.000235s
hidden1 time:0.000132s
hidden1 time:0.000208s
hidden1 time:0.000213s
hidden1 time:0.000717s
hidden1 time:0.000207s
hidden1 time:0.004271s
hidden1 time:0.002661s
hidden1 time:0.003210s
hidden1 time:0.002668s
hidden1 time:0.000956s
hidden1 time:0.000444s
hidden1 time:0.000816s
hidden1 time:0.003677s
hidden1 time:0.000539s
hidden1 time:0.000191s
hidden1 time:0.002406s
hidden1 time:0.000163s
hidden1 time:0.000205s
hidden1 time:0.000320s
hidden1 time:0.009745s
hidden1 time:0.002353s
hidden1 time:0.000152s
hidden1 time:0.002128s
hidden1 time:0.000941s
hidden1 time:0.000137s
hidden1 time:0.000242s
hidden1 time:0.000182s
hidden1 time:0.000158s
hidden1 time:0.000176s
hidden1 time:0.000195s
hidden1 time:0.000133s
hidden1 time:0.000149s
hidden1 time:0.000434s
hidden1 time:0.001050s
hidden1 time:0.002716s
hidden1 time:0.002183s
hidden1 time:0.002584s
hidden1 time:0.002282s
hidden1 time:0.004039s
hidden1 time:0.000772s
hidden1 time:0.007366s
hidden1 time:0.006210s
hidden1 time:0.016528s
hidden1 time:0.007493s
hidden1 time:0.007068s
hidden1 time:0.005239s
hidden1 time:0.002654s
hidden1 time:0.002639s
hidden1 time:0.000133s
hidden1 time:0.000150s
hidden1 time:0.000213s
hidden1 time:0.000167s
hidden1 time:0.000153s
hidden1 time:0.005850s
hidden1 time:0.000123s
hidden1 time:0.000210s
hidden1 time:0.001227s
hidden1 time:0.001406s
hidden1 time:0.000484s
Traceback (most recent call last):
  File "/home/jdwang/PycharmProjects/digitRecognition/int_weight_predict/int_cnn.py", line 462, in <module>
    int_predict = cnn_batch_predict(X_test[:1], weights)
  File "/home/jdwang/PycharmProjects/digitRecognition/int_weight_predict/int_cnn.py", line 294, in cnn_batch_predict
    result.append(cnn_predict(img, weights))
  File "/home/jdwang/PycharmProjects/digitRecognition/int_weight_predict/int_cnn.py", line 308, in cnn_predict
    imgs_conv_result = conv_pool_operation(img, weights[0], weights[1])
  File "/home/jdwang/PycharmProjects/digitRecognition/int_weight_predict/int_cnn.py", line 211, in conv_pool_operation
    + conv_b[filter_index]
KeyboardInterrupt

Process finished with exit code 1


129,245,270,287,300,311,375,425,509,543,630,758,864,875,890,975,
99,129,141,245,249,270,287,300,311,375,425,509,543,630,758,864,875,890,905,975,1014,
