迭代	lr	测试准确率	测试混淆>5	测试混淆>10	应用准确率	应用混淆>5	应用混淆>10
113	0.01	0.999658284276	2	0	0.99941657662	7	5
114	0.005	0.999238905888	2	0	0.998307250474	13	9
115	0.05	0.994019974837	14	8	0.995874950183	26	19
116	0.01	0.998757397369	5	3	0.998730437855	12	8
117	0.005	0.999767012007	0	0	0.999560378157	6	4
118	0.05	0.955934204191	44	34	0.956732171691	62	41
119	0.01	0.999223373355	2	0	0.999128973545	8	7
120	0.005	0.999099113092	3	2	0.99843461755	10	7
121	0.05	0.0541930072537	36	36	0.0779075643717	36	36
122	0.01	0.995278110001	16	8	0.992629144052	22	15
123	0.005	0.999440828816	2	0	0.999046801238	12	7
124	0.05	0.995604293192	11	8	0.995386024956	26	16
125	0.01	0.999285503487	3	1	0.998401748627	11	7
126	0.005	0.994920861745	15	7	0.992119675748	28	18
127	0.05	0.983939360992	28	19	0.98960520315	40	28
128	0.01	0.998959320296	4	2	0.997288313865	11	6
129	0.005	0.999813609605	0	0	0.999724722771	5	2
130	0.05	0.991084326121	20	9	0.988964259155	44	24
131	0.01	0.999580621612	1	0	0.999433011081	8	4
132	0.005	0.999425296283	1	0	0.999100213237	9	8
133	0.05	0.0559637160032	33	33	0.0794277520533	33	33
134	0.01	0.999440828816	2	0	0.999457662773	12	3
135	0.005	0.999735946941	1	0	0.999650767695	5	3
136	0.05	0.986952672372	29	19	0.985328134565	45	34
137	0.01	0.999549556546	0	0	0.999461771388	7	4
138	0.005	0.999502958948	2	0	0.99930975262	6	4
139	0.05	0.986704151846	15	8	0.990726855143	21	13
140	0.01	0.999347633619	3	0	0.999157733852	8	5
141	0.005	0.99989127227	0	0	0.999782243386	3	2
142	0.05	0.982541433031	20	18	0.990126997301	31	25
143	0.01	0.998959320296	4	1	0.998648265548	12	6
144	0.005	0.999285503487	2	0	0.999437119696	6	3
145	0.05	0.994905329212	16	8	0.995862624337	29	17
146	0.01	0.999456361349	1	1	0.999116647699	7	5
147	0.005	0.998928255231	4	2	0.99919471139	8	6
148	0.05	0.981112440006	32	24	0.980311515216	53	39
149	0.01	0.999720414408	1	0	0.999428902466	6	3
150	0.005	0.999658284276	1	0	0.999239906159	9	4
151	0.05	0.994237430298	20	9	0.986634674248	44	26
152	0.01	0.989919386154	4	2	0.993311174201	12	9
153	0.005	0.998042900856	5	4	0.997095208944	17	12
154	0.05	0.982712290893	27	18	0.974616974333	60	38
155	0.01	0.999767012007	1	0	0.999568595388	6	3
156	0.005	0.999565089079	2	0	0.999433011081	4	4
157	0.05	0.995402370265	11	7	0.996289920334	22	15
158	0.01	0.999114645625	2	2	0.997908714784	10	7
159	0.005	0.99951849148	2	0	0.999059127084	8	5
160	0.05	0.998291421382	4	2	0.997025362483	15	9
161	0.01	0.999658284276	2	1	0.999116647699	5	5
162	0.005	0.998757397369	4	2	0.998709894778	15	9
163	0.05	0.998508876843	3	3	0.998311359089	10	7
164	0.01	0.999068048027	4	1	0.998401748627	13	8
165	0.005	0.999704881875	1	0	0.999605572926	5	3
166	0.05	0.975551793231	15	10	0.984374935803	23	17
167	0.01	0.999751479474	1	0	0.999605572926	4	3
168	0.005	0.998462279244	7	3	0.997419789557	12	11
169	0.05	0.995573228126	18	7	0.997029471098	28	20
170	0.01	0.983131669281	9	5	0.990710420681	18	12
171	0.005	0.999751479474	0	0	0.99953983508	6	2
172	0.05	0.716034233702	154	129	0.741222970447	208	185
173	0.01	0.998477811777	5	2	0.997156838174	15	11
174	0.005	0.999565089079	2	0	0.999564486772	5	3
175	0.05	0.898510430096	82	56	0.909770698177	128	92
176	0.01	0.999347633619	3	1	0.999391924927	6	3
177	0.005	0.998974852829	4	2	0.999346730158	7	3
178	0.05	0.997747782731	11	4	0.996729542177	16	14
179	0.01	0.998353551514	5	4	0.997945692322	16	13
180	0.005	0.998943787763	5	1	0.998455160626	11	7
181	0.05	0.998182693652	6	2	0.998179883397	14	6
182	0.01	0.999425296283	3	0	0.999342621543	11	5
183	0.005	0.99951849148	2	0	0.999585029849	4	2
184	0.05	0.995371305199	6	4	0.995464088647	23	14
185	0.01	0.997840977928	8	3	0.998183992013	14	10
186	0.005	0.998974852829	5	1	0.998886565239	13	5
187	0.05	0.99871079977	5	2	0.998730437855	12	7
188	0.01	0.997965238191	7	2	0.997773130477	17	11
189	0.005	0.999394231217	1	1	0.99947820585	10	2
190	0.05	0.999005917895	5	2	0.999104321852	8	5
191	0.01	0.997375001942	13	4	0.997407463711	19	13
192	0.005	0.999099113092	2	1	0.998163448936	16	12
193	0.05	0.99392677964	18	10	0.992777054205	31	23
194	0.01	0.998633137106	4	2	0.998488029549	16	9
195	0.005	0.999238905888	3	1	0.99907967016	10	7
196	0.05	0.99403550737	12	5	0.993434432662	24	16
197	0.01	0.99871079977	5	2	0.998701677548	10	6
198	0.005	0.999456361349	2	0	0.999190602775	11	5
199	0.05	0.0565694847859	33	33	0.0388223064945	33	33
200	0.01	0.998539941908	6	1	0.997119860636	21	12
201	0.005	0.995992606514	5	1	0.997321182788	11	8
202	0.05	0.99381805191	16	11	0.995357264648	30	19
203	0.01	0.996411984902	9	4	0.994991597882	15	11
204	0.005	0.999332101086	2	1	0.999244014775	12	6
205	0.05	0.992016278094	11	7	0.995036792651	20	16
206	0.01	0.999627219211	2	0	0.999552160926	6	3
