,,,,,,,,,,,,整型,,,,,
迭代,lr,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10,应用准确率,应用混淆>5,应用混淆>10,,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10
46,0.05,0.969535025,41,26,0.969307715,36,26,0.981252388,61,43,,,,,,,
,,,,,,,,,,,,,,,,,
47,0.01,0.990973916,19,9,0.991348379,20,11,0.992427822,30,19,,,,,,,
,,,,,,,,,,,,,,,,,
48,0.005,0.990197145,24,12,0.991612432,19,14,0.992575732,39,21,,,,,,,
,,,,,,,,,,,,,,,,,
49,0.05,0.986282217,31,16,0.985042171,30,16,0.987131817,44,31,,,,,,,
,,,,,,,,,,,,,,,,,
50,0.01,0.971274993,45,26,0.969804756,43,28,0.974021225,62,43,,,,,,,
,,,,,,,,,,,,,,,,,
51,0.005,0.991222483,22,15,0.991519237,21,16,0.993192024,35,23,,,,,,,
,,,,,,,,,,,,,,,,,
52,0.05,0.836008016,131,102,0.836753079,134,100,0.856633976,168,137,,,,,,,
,,,,,,,,,,,,,,,,,
53,0.01,0.975811338,33,21,0.97651481,33,25,0.978154492,47,35,,,,,,,
,,,,,,,,,,,,,,,,,
54,0.005,0.991004987,13,9,0.991472639,15,11,0.991979983,23,14,,,,,,,
,,,,,,,,,,,,,,,,,
55,0.05,0.925476549,89,62,0.92426337,92,66,0.931587446,127,90,,,,,,,
,,,,,,,,,,,,,,,,,
56,0.01,0.991020522,22,13,0.991239652,21,14,0.992132002,37,27,,,,,,,
,,,,,,,,,,,,,,,,,
57,0.005,0.993599403,20,11,0.993957845,20,11,0.993767231,37,22,,,,,,,
,,,,,,,,,,,,,,,,,
58,0.05,0.990103932,30,17,0.98939128,27,22,0.987826173,48,33,,,,,,,
,,,,,,,,,,,,,,,,,
59,0.01,0.946558126,66,50,0.950187167,67,45,0.965237006,96,68,,,,,,,
,,,,,,,,,,,,,,,,,
60,0.005,0.957883453,51,38,0.957798108,49,30,0.962919746,76,51,,,,,,,
,,,,,,,,,,,,,,,,,
61,0.05,0.974506362,41,32,0.977120579,40,25,0.976556241,68,52,,,,,,,
,,,,,,,,,,,,,,,,,
62,0.01,0.971958552,28,18,0.972165701,29,20,0.97552087,53,36,,,,,,,
,,,,,,,,,,,,,,,,,
63,0.005,0.960757508,45,34,0.9586058,45,31,0.965060335,54,43,,,,,,,
,,,,,,,,,,,,,,,,,
64,0.05,0.908185617,81,66,0.904226402,87,69,0.891898221,108,89,,,,,,,
,,,,,,,,,,,,,,,,,
65,0.01,0.94545511,61,45,0.947065128,56,40,0.954990119,88,72,,,,,,,
,,,,,,,,,,,,,,,,,
66,0.005,0.995898647,14,5,0.996085802,13,5,0.995213463,27,15,,,,,,,
,,,,,,,,,,,,,,,,,
67,0.05,0.989529121,32,18,0.990043646,30,18,0.990020173,51,34,,,,,,,
,,,,,,,,,,,,,,,,,
68,0.01,0.990538924,28,18,0.990960066,28,18,0.992411387,42,30,,,,,,,
,,,,,,,,,,,,,,,,,
69,0.005,0.982274076,40,22,0.981951197,34,20,0.984292764,62,42,,,,,,,
,,,,,,,,,,,,,,,,,
70,0.05,0.907641877,71,53,0.909585126,68,56,0.907786237,91,68,,,,,,,
,,,,,,,,,,,,,,,,,
71,0.01,0.820348304,118,92,0.824653236,128,91,0.869111841,164,126,,,,,,,
,,,,,,,,,,,,,,,,,
72,0.005,0.989793223,26,12,0.989344682,25,13,0.989777765,45,28,,,,,,,
,,,,,,,,,,,,,,,,,
73,0.05,0.983905296,29,17,0.984234479,28,18,0.979539096,64,39,,,,,,,
,,,,,,,,,,,,,,,,,
74,0.01,0.990849633,18,11,0.99153477,18,13,0.993015354,22,18,,,,,,,
,,,,,,,,,,,,,,,,,
75,0.005,0.993941183,13,9,0.99405104,16,10,0.994058942,25,16,,,,,,,
,,,,,,,,,,,,,,,,,
76,0.05,0.973931551,47,32,0.973718954,50,29,0.973022832,65,50,,,,,,,
,,,,,,,,,,,,,,,,,
77,0.01,0.954885116,36,30,0.956353583,39,27,0.963704492,62,40,,,,,,,
,,,,,,,,,,,,,,,,,
78,0.005,0.974956889,50,35,0.973284043,50,36,0.97712323,69,46,,,,,,,
,,,,,,,,,,,,,,,,,
79,0.05,0.986002579,27,19,0.984995573,27,19,0.981203085,43,26,,,,,,,
,,,,,,,,,,,,,,,,,
80,0.01,0.99493545,15,10,0.994517016,16,9,0.995883167,26,15,,,,,,,
,,,,,,,,,,,,,,,,,
81,0.005,0.985831689,22,16,0.988086547,22,15,0.986244356,35,27,,,,,,,
,,,,,,,,,,,,,,,,,
82,0.05,0.991610869,24,11,0.990152374,17,10,0.988627353,37,22,,,,,,,
,,,,,,,,,,,,,,,,,
83,0.01,0.988006649,39,19,0.988304003,26,21,0.991893702,50,35,,,,,,,
,,,,,,,,,,,,,,,,,
84,0.005,0.991812829,18,10,0.991084326,21,16,0.987937105,30,19,,,,,,,
,,,,,,,,,,,,,,,,,
85,0.05,0.971803197,24,14,0.970115407,26,16,0.975171637,44,36,,,,,,,
,,,,,,,,,,,,,,,,,
86,0.01,0.963957806,44,30,0.960718224,45,29,0.956859539,62,48,,,,,,,
,,,,,,,,,,,,,,,,,
87,0.005,0.988177539,26,16,0.987667169,26,17,0.986182727,39,29,,,,,,,
,,,,,,,,,,,,,,,,,
88,0.05,0.016389877,33,33,0.016386822,33,33,0.008669178,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
89,0.01,0.993614939,20,10,0.993818052,18,11,0.99421507,29,22,,,,,,,
,,,,,,,,,,,,,,,,,
90,0.005,0.948468984,59,42,0.94781069,53,42,0.960631248,74,59,,,,,,,
,,,,,,,,,,,,,,,,,
91,0.05,0.97043608,46,28,0.972507417,43,28,0.962751293,81,58,,,,,,,
,,,,,,,,,,,,,,,,,
92,0.01,0.995681151,15,7,0.995557696,17,8,0.994502673,33,18,,,,,,,
,,,,,,,,,,,,,,,,,
93,0.005,0.991067129,16,13,0.990261102,16,12,0.992008743,25,18,,,,,,,
,,,,,,,,,,,,,,,,,
94,0.05,0.415215399,164,125,0.409903543,168,131,0.376377927,206,182,,,,,,,
,,,,,,,,,,,,,,,,,
95,0.01,0.995059734,10,7,0.994501483,9,5,0.98887387,17,12,,,,,,,
,,,,,,,,,,,,,,,,,
96,0.005,0.986313288,28,21,0.986191578,25,17,0.981881006,42,28,,,,,,,
,,,,,,,,,,,,,,,,,
97,0.05,0.020631049,33,33,0.020627204,33,33,0.010912482,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
98,0.01,0.987509516,23,15,0.987340986,26,12,0.99103911,36,27,,,,,,,
,,,,,,,,,,,,,,,,,
99,0.005,0.99058553,22,11,0.99068048,22,16,0.990993915,39,23,,,,,,,
,,,,,,,,,,,,,,,,,
100,0.05,0.977862014,30,19,0.978161259,28,19,0.980274538,53,35,,,,,,,
,,,,,,,,,,,,,,,,,
101,0.01,0.977566841,19,11,0.976996319,22,9,0.985919775,42,26,,,,,,,
,,,,,,,,,,,,,,,,,
102,0.005,0.980875888,38,27,0.981920132,46,25,0.984416022,65,48,,,,,,,
,,,,,,,,,,,,,,,,,
103,0.05,0.96774845,53,35,0.96713316,53,37,0.973417259,86,60,,,,,,,
,,,,,,,,,,,,,,,,,
104,0.01,0.861361836,69,58,0.868020068,71,55,0.89332802,95,78,,,,,,,
,,,,,,,,,,,,,,,,,
105,0.005,0.969736985,37,27,0.970674578,41,26,0.977365638,61,43,,,,,,,
,,,,,,,,,,,,,,,,,
106,0.05,0.959483602,53,42,0.956664233,48,39,0.956863647,68,54,,,,,,,
,,,,,,,,,,,,,,,,,
107,0.01,0.941695537,59,41,0.94100744,64,45,0.95801406,73,61,,,,,,,
,,,,,,,,,,,,,,,,,
108,0.005,0.977380416,38,25,0.975955639,38,25,0.978064103,63,48,,,,,,,
,,,,,,,,,,,,,,,,,
109,0.05,0.978763069,46,33,0.97755549,45,32,0.965803994,67,45,,,,,,,
,,,,,,,,,,,,,,,,,
110,0.01,0.992418711,18,12,0.993196751,17,10,0.994835471,30,18,,,,,,,
,,,,,,,,,,,,,,,,,
111,0.005,0.944289953,59,38,0.946925335,50,38,0.95700334,77,62,,,,,,,
,,,,,,,,,,,,,,,,,
112,0.05,0.979400022,31,17,0.979838772,31,19,0.978232556,53,36,,,,,,,
,,,,,,,,,,,,,,,,,
113,0.01,0.981388557,33,20,0.980957115,33,23,0.983343673,52,36,,,,,,,
,,,,,,,,,,,,,,,,,
114,0.005,0.992869238,21,12,0.993849117,19,11,0.99394801,30,22,,,,,,,
,,,,,,,,,,,,,,,,,
115,0.05,0.947101866,53,38,0.945651667,54,34,0.951164998,89,67,,,,,,,
,,,,,,,,,,,,,,,,,
116,0.01,0.969395206,43,33,0.969121325,43,33,0.979148777,62,43,,,,,,,
,,,,,,,,,,,,,,,,,
117,0.005,0.985179201,24,17,0.985213029,24,17,0.986688086,35,28,,,,,,,
,,,,,,,,,,,,,,,,,
118,0.05,0.915875654,52,38,0.917941629,56,31,0.923846814,71,59,,,,,,,
,,,,,,,,,,,,,,,,,
119,0.01,0.979446628,27,15,0.980491139,21,12,0.984687191,37,30,,,,,,,
,,,,,,,,,,,,,,,,,
120,0.005,0.995789899,9,5,0.995821749,10,5,0.996421396,24,14,,,,,,,
,,,,,,,,,,,,,,,,,
121,0.05,0.98477528,42,26,0.984203414,42,23,0.986811345,65,44,,,,,,,
,,,,,,,,,,,,,,,,,
122,0.01,0.984666532,31,19,0.984747053,26,18,0.982764359,53,34,,,,,,,
,,,,,,,,,,,,,,,,,
123,0.005,0.991191412,21,13,0.990028114,23,14,0.990143432,33,23,,,,,,,
,,,,,,,,,,,,,,,,,
124,0.05,0.969970017,41,26,0.972352092,41,26,0.973618581,72,49,,,,,,,
,,,,,,,,,,,,,,,,,
125,0.01,0.970886607,41,25,0.970224135,38,29,0.971149303,58,36,,,,,,,
,,,,,,,,,,,,,,,,,
126,0.005,0.977924156,41,28,0.976825461,37,27,0.976305615,50,43,,,,,,,
,,,,,,,,,,,,,,,,,
127,0.05,0.98331495,37,23,0.985259626,32,25,0.987439963,57,39,,,,,,,
,,,,,,,,,,,,,,,,,
128,0.01,0.996162749,17,6,0.996272192,13,8,0.996100924,30,18,,,,,,,
,,,,,,,,,,,,,,,,,
129,0.005,0.968742718,46,32,0.971187152,50,31,0.97632205,67,54,,,,,,,
,,,,,,,,,,,,,,,,,
130,0.05,0.981497305,18,9,0.982619096,15,11,0.988109667,31,22,,,,,,,
,,,,,,,,,,,,,,,,,
131,0.01,0.989420373,24,14,0.989748528,24,14,0.993401564,40,24,,,,,,,
,,,,,,,,,,,,,,,,,
132,0.005,0.97950877,42,30,0.97878256,42,28,0.977024623,59,47,,,,,,,
,,,,,,,,,,,,,,,,,
133,0.05,0.937765073,65,44,0.936565136,68,43,0.952828987,94,66,,,,,,,
,,,,,,,,,,,,,,,,,
134,0.01,0.988861098,25,16,0.990292167,22,15,0.992666122,40,26,,,,,,,
,,,,,,,,,,,,,,,,,
135,0.005,0.993583868,20,8,0.994548081,15,10,0.991860833,30,22,,,,,,,
,,,,,,,,,,,,,,,,,
