,,,,,,,,,,,,整型,,,,,
迭代,lr,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10,应用准确率,应用混淆>5,应用混淆>10,,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10
,,,,,,,,,,,,,,,,,
620,0.01,0.994982057,16,6,0.995790684,13,7,0.996573415,24,15,,,,,,,
,,,,,,,,,,,,,,,,,
621,0.005,0.991688546,27,16,0.992963763,28,10,0.991680054,43,30,,,,,,,
,,,,,,,,,,,,,,,,,
622,0.05,0.020631049,33,33,0.020627204,33,33,0.010912482,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
623,0.01,0.993879041,11,6,0.994718939,11,5,0.995094313,23,13,,,,,,,
,,,,,,,,,,,,,,,,,
624,0.005,0.994500458,21,10,0.994470418,18,11,0.993923358,34,21,,,,,,,
,,,,,,,,,,,,,,,,,
625,0.05,0.028725007,33,33,0.028735186,33,33,0.015197768,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
626,0.01,0.983998509,32,22,0.98558581,29,21,0.98967505,47,33,,,,,,,
,,,,,,,,,,,,,,,,,
627,0.005,0.992822632,23,16,0.992482254,24,16,0.993512496,38,25,,,,,,,
,,,,,,,,,,,,,,,,,
628,0.05,0.89539996,50,36,0.901290754,54,38,0.899244426,72,55,,,,,,,
,,,,,,,,,,,,,,,,,
629,0.01,0.996815237,13,6,0.997188612,11,5,0.997937475,28,10,,,,,,,
,,,,,,,,,,,,,,,,,
630,0.005,0.954652084,43,34,0.95744086,46,32,0.965434219,71,48,,,,,,,
,,,,,,,,,,,,,,,,,
631,0.05,0.924326928,66,51,0.92328482,66,55,0.938498137,95,77,,,,,,,
,,,,,,,,,,,,,,,,,
632,0.01,0.97661918,28,13,0.977633153,28,14,0.984366719,51,31,,,,,,,
,,,,,,,,,,,,,,,,,
633,0.005,0.987556122,22,9,0.987713767,20,10,0.99103911,32,24,,,,,,,
,,,,,,,,,,,,,,,,,
634,0.05,0.676956299,215,159,0.677637812,220,154,0.674240214,307,247,,,,,,,
,,,,,,,,,,,,,,,,,
635,0.01,0.970373938,33,22,0.970286265,31,19,0.976478177,64,37,,,,,,,
,,,,,,,,,,,,,,,,,
636,0.005,0.983579052,29,19,0.983426787,27,20,0.982152175,46,35,,,,,,,
,,,,,,,,,,,,,,,,,
637,0.05,0.969488418,44,32,0.969960081,50,36,0.971568382,62,51,,,,,,,
,,,,,,,,,,,,,,,,,
638,0.01,0.961953736,41,30,0.961168668,44,31,0.968934759,67,41,,,,,,,
,,,,,,,,,,,,,,,,,
639,0.005,0.987727012,32,21,0.987946755,31,20,0.990069477,46,37,,,,,,,
,,,,,,,,,,,,,,,,,
640,0.05,0.977691125,32,21,0.97761762,31,22,0.982838314,46,31,,,,,,,
,,,,,,,,,,,,,,,,,
641,0.01,0.991859435,27,13,0.99294823,26,13,0.994909426,35,28,,,,,,,
,,,,,,,,,,,,,,,,,
642,0.005,0.973682984,35,23,0.974293658,36,27,0.978479073,50,38,,,,,,,
,,,,,,,,,,,,,,,,,
643,0.05,0.965884199,58,33,0.965098399,56,39,0.969349729,83,58,,,,,,,
,,,,,,,,,,,,,,,,,
644,0.01,0.983112989,29,21,0.983488918,25,18,0.989514814,35,26,,,,,,,
,,,,,,,,,,,,,,,,,
645,0.005,0.994873309,19,11,0.995247045,17,9,0.994946403,25,20,,,,,,,
,,,,,,,,,,,,,,,,,
646,0.05,0.934083177,61,40,0.934499309,57,43,0.936727324,86,66,,,,,,,
,,,,,,,,,,,,,,,,,
647,0.01,0.994034395,24,13,0.993662727,24,12,0.996018752,40,20,,,,,,,
,,,,,,,,,,,,,,,,,
648,0.005,0.959825382,54,35,0.963607275,47,33,0.973593929,67,55,,,,,,,
,,,,,,,,,,,,,,,,,
649,0.05,0.902344296,71,58,0.905406875,76,53,0.899560789,87,71,,,,,,,
,,,,,,,,,,,,,,,,,
650,0.01,0.925072628,84,59,0.921498579,83,52,0.917950951,137,103,,,,,,,
,,,,,,,,,,,,,,,,,
651,0.005,0.993024593,14,8,0.994035507,15,9,0.993717927,30,19,,,,,,,
,,,,,,,,,,,,,,,,,
652,0.05,0.811943638,140,110,0.812817446,146,104,0.86305985,176,139,,,,,,,
,,,,,,,,,,,,,,,,,
653,0.01,0.913203561,85,67,0.91126264,85,60,0.92451241,118,99,,,,,,,
,,,,,,,,,,,,,,,,,
654,0.005,0.945346362,63,43,0.940852115,65,46,0.946296289,81,65,,,,,,,
,,,,,,,,,,,,,,,,,
655,0.05,0.862371639,117,86,0.862521551,119,88,0.897950212,152,126,,,,,,,
,,,,,,,,,,,,,,,,,
656,0.01,0.987478445,30,11,0.989282552,29,16,0.992279912,44,29,,,,,,,
,,,,,,,,,,,,,,,,,
657,0.005,0.974630645,33,19,0.974635374,33,21,0.967772021,47,38,,,,,,,
,,,,,,,,,,,,,,,,,
658,0.05,0.975593842,43,29,0.975567326,49,29,0.97554963,63,49,,,,,,,
,,,,,,,,,,,,,,,,,
659,0.01,0.986981311,19,10,0.98699927,18,7,0.99237441,29,20,,,,,,,
,,,,,,,,,,,,,,,,,
660,0.005,0.992682813,18,8,0.992528852,18,10,0.994194527,30,18,,,,,,,
,,,,,,,,,,,,,,,,,
661,0.05,0.947863102,36,26,0.946568087,38,27,0.955347568,64,47,,,,,,,
,,,,,,,,,,,,,,,,,
662,0.01,0.99565008,16,7,0.99509172,15,7,0.995172377,27,18,,,,,,,
,,,,,,,,,,,,,,,,,
663,0.005,0.993412978,19,10,0.993336543,21,10,0.9922265,36,26,,,,,,,
,,,,,,,,,,,,,,,,,
664,0.05,0.055259519,32,32,0.05524922,32,32,0.08044258,32,32,,,,,,,
,,,,,,,,,,,,,,,,,
665,0.01,0.996287033,14,11,0.996116867,15,9,0.996294029,27,20,,,,,,,
,,,,,,,,,,,,,,,,,
666,0.005,0.979353416,26,14,0.980397944,26,12,0.986199161,38,26,,,,,,,
,,,,,,,,,,,,,,,,,
667,0.05,0.018409483,33,33,0.018421584,33,33,0.009741527,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
668,0.01,0.965930805,47,27,0.966511859,42,23,0.977275249,74,50,,,,,,,
,,,,,,,,,,,,,,,,,
669,0.005,0.994096537,10,5,0.994874264,10,5,0.994412283,25,12,,,,,,,
,,,,,,,,,,,,,,,,,
670,0.05,0.904146406,92,65,0.902921669,88,64,0.918382356,128,93,,,,,,,
,,,,,,,,,,,,,,,,,
671,0.01,0.995914182,12,5,0.995946009,12,4,0.996939082,21,13,,,,,,,
,,,,,,,,,,,,,,,,,
672,0.005,0.968385403,35,20,0.971451205,37,20,0.973425476,57,39,,,,,,,
,,,,,,,,,,,,,,,,,
673,0.05,0.990057326,30,16,0.987946755,35,23,0.988269903,53,38,,,,,,,
,,,,,,,,,,,,,,,,,
674,0.01,0.992480853,14,5,0.992559917,14,6,0.992986594,22,19,,,,,,,
,,,,,,,,,,,,,,,,,
675,0.005,0.975966692,45,24,0.976188627,36,25,0.980808658,60,42,,,,,,,
,,,,,,,,,,,,,,,,,
676,0.05,0.900946108,68,46,0.898743418,64,47,0.912597426,99,81,,,,,,,
,,,,,,,,,,,,,,,,,
677,0.01,0.981761407,29,19,0.981345428,29,21,0.981864572,49,31,,,,,,,
,,,,,,,,,,,,,,,,,
678,0.005,0.974086905,45,27,0.975722651,43,28,0.974091072,65,53,,,,,,,
,,,,,,,,,,,,,,,,,
679,0.05,0.945268685,48,31,0.942079185,46,36,0.95780452,59,48,,,,,,,
,,,,,,,,,,,,,,,,,
680,0.01,0.884649443,100,75,0.886162066,107,68,0.910658159,157,121,,,,,,,
,,,,,,,,,,,,,,,,,
681,0.005,0.992263357,19,13,0.990851338,19,12,0.985763648,28,17,,,,,,,
,,,,,,,,,,,,,,,,,
682,0.05,0.867886716,109,83,0.867134714,106,78,0.890267101,147,118,,,,,,,
,,,,,,,,,,,,,,,,,
683,0.01,0.988457177,25,19,0.988568056,28,19,0.991018567,46,35,,,,,,,
,,,,,,,,,,,,,,,,,
684,0.005,0.975966692,50,34,0.974806232,47,33,0.97611251,63,49,,,,,,,
,,,,,,,,,,,,,,,,,
685,0.05,0.987789153,29,15,0.986859477,32,18,0.989338143,40,36,,,,,,,
,,,,,,,,,,,,,,,,,
686,0.01,0.988363964,20,12,0.98810208,22,15,0.985476045,34,24,,,,,,,
,,,,,,,,,,,,,,,,,
687,0.005,0.983237273,30,22,0.982758889,31,21,0.984892621,43,37,,,,,,,
,,,,,,,,,,,,,,,,,
688,0.05,0.058319999,33,33,0.058309129,33,33,0.072143177,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
689,0.01,0.996426851,12,6,0.996691571,14,6,0.997234902,23,13,,,,,,,
,,,,,,,,,,,,,,,,,
690,0.005,0.964672436,48,33,0.963948991,46,33,0.971699857,70,51,,,,,,,
,,,,,,,,,,,,,,,,,
691,0.05,0.111575448,314,285,0.11584163,313,284,0.086194642,336,314,,,,,,,
,,,,,,,,,,,,,,,,,
692,0.01,0.213969457,250,207,0.215016853,256,216,0.230723404,296,264,,,,,,,
,,,,,,,,,,,,,,,,,
693,0.005,0.919743976,63,46,0.922383933,68,48,0.9473029,98,77,,,,,,,
,,,,,,,,,,,,,,,,,
694,0.05,0.972735323,39,24,0.974076203,36,24,0.976396005,53,36,,,,,,,
,,,,,,,,,,,,,,,,,
695,0.01,0.981000171,22,12,0.98246377,17,13,0.987998735,33,24,,,,,,,
,,,,,,,,,,,,,,,,,
696,0.005,0.984915099,36,19,0.985508147,35,20,0.987460506,50,33,,,,,,,
,,,,,,,,,,,,,,,,,
697,0.05,0.88217931,125,84,0.886892096,119,78,0.910736223,219,163,,,,,,,
,,,,,,,,,,,,,,,,,
698,0.01,0.989435909,32,19,0.988863174,34,18,0.991269192,49,32,,,,,,,
,,,,,,,,,,,,,,,,,
699,0.005,0.978669857,34,21,0.978409779,33,21,0.977267031,57,42,,,,,,,
,,,,,,,,,,,,,,,,,
700,0.05,0.951591605,59,49,0.950171635,64,47,0.94738918,83,66,,,,,,,
,,,,,,,,,,,,,,,,,
701,0.01,0.996100607,17,7,0.996008139,17,7,0.99522168,33,23,,,,,,,
,,,,,,,,,,,,,,,,,
702,0.005,0.992542994,18,10,0.99386465,20,9,0.992851009,30,20,,,,,,,
,,,,,,,,,,,,,,,,,
703,0.05,0.993459585,16,8,0.993973377,16,8,0.99394801,30,20,,,,,,,
,,,,,,,,,,,,,,,,,
704,0.01,0.993117805,11,9,0.993134621,16,11,0.993072875,28,17,,,,,,,
,,,,,,,,,,,,,,,,,
705,0.005,0.98131088,32,22,0.982308445,33,20,0.986195052,49,34,,,,,,,
,,,,,,,,,,,,,,,,,
706,0.05,0.94362193,76,47,0.944176077,78,49,0.951481361,127,90,,,,,,,
,,,,,,,,,,,,,,,,,
707,0.01,0.972113906,37,29,0.972227831,35,25,0.971523187,52,41,,,,,,,
,,,,,,,,,,,,,,,,,
708,0.005,0.991331231,20,14,0.992280331,22,16,0.991417103,33,23,,,,,,,
,,,,,,,,,,,,,,,,,
709,0.05,0.97515885,26,17,0.975054752,28,16,0.975483892,48,32,,,,,,,
,,,,,,,,,,,,,,,,,
710,0.01,0.944321024,48,33,0.941613209,47,31,0.95442313,72,56,,,,,,,
,,,,,,,,,,,,,,,,,
711,0.005,0.978996101,28,14,0.977462295,24,14,0.983167003,42,26,,,,,,,
,,,,,,,,,,,,,,,,,
712,0.05,0.969488418,33,20,0.97044159,30,18,0.977476571,74,42,,,,,,,
,,,,,,,,,,,,,,,,,
713,0.01,0.982879958,24,15,0.984576195,20,15,0.982842422,45,24,,,,,,,
,,,,,,,,,,,,,,,,,
714,0.005,0.990430176,26,17,0.98945341,27,15,0.986449787,45,31,,,,,,,
,,,,,,,,,,,,,,,,,
715,0.05,0.960182697,46,33,0.962488933,42,29,0.967808999,61,46,,,,,,,
,,,,,,,,,,,,,,,,,
716,0.01,0.977970762,31,25,0.977229307,32,21,0.982189152,49,35,,,,,,,
,,,,,,,,,,,,,,,,,
717,0.005,0.990849633,18,11,0.99055622,19,9,0.992021069,27,20,,,,,,,
,,,,,,,,,,,,,,,,,
718,0.05,0.937734002,67,51,0.933862475,72,52,0.941735726,118,92,,,,,,,
,,,,,,,,,,,,,,,,,
719,0.01,0.996939521,10,4,0.996070269,15,8,0.99688567,23,16,,,,,,,
,,,,,,,,,,,,,,,,,
720,0.005,0.997778434,10,4,0.997250742,10,6,0.99602286,21,14,,,,,,,
,,,,,,,,,,,,,,,,,
721,0.05,0.852708602,98,76,0.853776735,105,73,0.880480379,144,107,,,,,,,
,,,,,,,,,,,,,,,,,
722,0.01,0.995525797,13,7,0.995526631,18,7,0.994880665,28,20,,,,,,,
,,,,,,,,,,,,,,,,,
723,0.005,0.969643773,39,24,0.96933878,42,28,0.973807577,64,41,,,,,,,
,,,,,,,,,,,,,,,,,
724,0.05,0.90844972,87,54,0.906618412,87,53,0.904030963,124,94,,,,,,,
,,,,,,,,,,,,,,,,,
725,0.01,0.992776026,23,15,0.992125006,22,15,0.992349758,35,26,,,,,,,
,,,,,,,,,,,,,,,,,
726,0.005,0.93346176,55,42,0.933474162,57,41,0.954772362,69,55,,,,,,,
,,,,,,,,,,,,,,,,,
727,0.05,0.985567587,25,17,0.982852084,23,17,0.976930125,41,29,,,,,,,
,,,,,,,,,,,,,,,,,
728,0.01,0.991999254,14,7,0.992233734,17,8,0.991922462,25,15,,,,,,,
,,,,,,,,,,,,,,,,,
729,0.005,0.980642856,28,17,0.982261847,28,19,0.985841712,48,34,,,,,,,
,,,,,,,,,,,,,,,,,
730,0.05,0.971041961,42,34,0.970550318,46,33,0.965331504,69,47,,,,,,,
,,,,,,,,,,,,,,,,,
731,0.01,0.992372105,18,12,0.991985213,22,15,0.99130617,45,28,,,,,,,
,,,,,,,,,,,,,,,,,
732,0.005,0.978498967,29,15,0.981003712,34,17,0.982784902,57,42,,,,,,,
,,,,,,,,,,,,,,,,,
733,0.05,0.896207802,103,70,0.899954956,97,67,0.907761585,131,101,,,,,,,
,,,,,,,,,,,,,,,,,
734,0.01,0.938837018,65,52,0.94352371,61,46,0.953897227,89,68,,,,,,,
,,,,,,,,,,,,,,,,,
735,0.005,0.99527723,15,8,0.994454886,16,11,0.995094313,23,17,,,,,,,
,,,,,,,,,,,,,,,,,
736,0.05,0.987618264,22,10,0.987449713,21,13,0.98718112,33,21,,,,,,,
,,,,,,,,,,,,,,,,,
737,0.01,0.987229878,25,19,0.988536991,21,15,0.991388342,44,26,,,,,,,
,,,,,,,,,,,,,,,,,
738,0.005,0.982522643,40,21,0.981795872,31,16,0.976704151,46,34,,,,,,,
,,,,,,,,,,,,,,,,,
739,0.05,0.909816837,76,48,0.90899489,69,41,0.935712496,118,79,,,,,,,
,,,,,,,,,,,,,,,,,
740,0.01,0.995059734,14,9,0.994641276,18,9,0.994580736,27,17,,,,,,,
,,,,,,,,,,,,,,,,,
741,0.005,0.981186596,34,19,0.979543654,31,22,0.97744781,51,42,,,,,,,
,,,,,,,,,,,,,,,,,
742,0.05,0.973589772,33,23,0.972258896,40,21,0.965803994,59,42,,,,,,,
,,,,,,,,,,,,,,,,,
743,0.01,0.987540586,26,16,0.988335068,25,17,0.990607705,41,26,,,,,,,
,,,,,,,,,,,,,,,,,
744,0.005,0.980565179,35,25,0.981205635,38,21,0.984703625,51,33,,,,,,,
,,,,,,,,,,,,,,,,,
745,0.05,0.991004987,18,11,0.990897936,20,11,0.986363506,47,29,,,,,,,
,,,,,,,,,,,,,,,,,
746,0.01,0.99330423,24,14,0.993398674,23,13,0.994864231,36,24,,,,,,,
,,,,,,,,,,,,,,,,,
747,0.005,0.990430176,23,11,0.991006664,21,12,0.991540361,39,25,,,,,,,
,,,,,,,,,,,,,,,,,
748,0.05,0.047367522,77,74,0.047638278,77,75,0.0251324,80,77,,,,,,,
,,,,,,,,,,,,,,,,,
749,0.01,0.983050848,31,19,0.983069539,30,19,0.988947825,54,37,,,,,,,
,,,,,,,,,,,,,,,,,
750,0.005,0.989793223,21,16,0.988785511,25,17,0.991351365,37,23,,,,,,,
,,,,,,,,,,,,,,,,,
751,0.05,0.878140099,93,68,0.875304826,95,65,0.889987715,134,103,,,,,,,
,,,,,,,,,,,,,,,,,
752,0.01,0.97607544,23,18,0.976235225,23,18,0.981194868,38,23,,,,,,,
,,,,,,,,,,,,,,,,,
753,0.005,0.987509516,32,22,0.987325453,33,24,0.990513207,50,36,,,,,,,
,,,,,,,,,,,,,,,,,
754,0.05,0.866038,109,77,0.863624361,107,87,0.891166888,155,122,,,,,,,
,,,,,,,,,,,,,,,,,
755,0.01,0.991051593,22,12,0.992062876,20,10,0.99373847,29,18,,,,,,,
,,,,,,,,,,,,,,,,,
756,0.005,0.963600491,50,34,0.965300322,48,33,0.964041398,76,63,,,,,,,
,,,,,,,,,,,,,,,,,
757,0.05,0.953284966,36,27,0.954334353,36,29,0.968819718,70,43,,,,,,,
,,,,,,,,,,,,,,,,,
758,0.01,0.979213597,52,33,0.978425312,49,34,0.980500512,67,52,,,,,,,
,,,,,,,,,,,,,,,,,
759,0.005,0.992574065,11,10,0.991674562,16,9,0.989375121,22,19,,,,,,,
,,,,,,,,,,,,,,,,,
760,0.05,0.977784337,28,20,0.978518507,28,19,0.97991298,59,38,,,,,,,
,,,,,,,,,,,,,,,,,
761,0.01,0.965293853,32,23,0.963933459,39,27,0.973006397,55,44,,,,,,,
,,,,,,,,,,,,,,,,,
762,0.005,0.995681151,13,7,0.995557696,16,8,0.995468197,32,19,,,,,,,
,,,,,,,,,,,,,,,,,
763,0.05,0.949727353,45,31,0.951072521,49,35,0.959476727,74,54,,,,,,,
,,,,,,,,,,,,,,,,,
764,0.01,0.994267427,19,10,0.994889797,18,9,0.995135399,34,20,,,,,,,
,,,,,,,,,,,,,,,,,
765,0.005,0.983905296,37,26,0.983799568,37,29,0.984933708,53,43,,,,,,,
,,,,,,,,,,,,,,,,,
766,0.05,0.016949153,33,33,0.016961526,33,33,0.008969107,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
767,0.01,0.975143314,23,14,0.972740405,26,13,0.978018908,43,27,,,,,,,
,,,,,,,,,,,,,,,,,
768,0.005,0.971212851,43,25,0.97173079,38,23,0.969086778,57,39,,,,,,,
,,,,,,,,,,,,,,,,,
769,0.05,0.981217667,38,20,0.9812367,35,20,0.981400298,74,50,,,,,,,
,,,,,,,,,,,,,,,,,
770,0.01,0.970001088,40,29,0.969509638,37,27,0.977262923,57,43,,,,,,,
,,,,,,,,,,,,,,,,,
771,0.005,0.976230794,53,32,0.977788478,50,38,0.980184148,74,53,,,,,,,
,,,,,,,,,,,,,,,,,
772,0.05,0.977846479,39,21,0.980180488,30,21,0.962270585,61,44,,,,,,,
,,,,,,,,,,,,,,,,,
773,0.01,0.989482515,24,16,0.989810658,26,15,0.989864046,49,30,,,,,,,
,,,,,,,,,,,,,,,,,
774,0.005,0.939722537,52,38,0.940991908,54,39,0.938876129,83,57,,,,,,,
,,,,,,,,,,,,,,,,,
775,0.05,0.925290124,103,70,0.923642068,95,70,0.939669092,124,101,,,,,,,
,,,,,,,,,,,,,,,,,
776,0.01,0.958970933,51,33,0.959926065,50,33,0.971067131,73,51,,,,,,,
,,,,,,,,,,,,,,,,,
777,0.005,0.916947599,87,63,0.916186453,87,61,0.945560847,107,83,,,,,,,
,,,,,,,,,,,,,,,,,
778,0.05,0.941586789,54,36,0.944486728,53,39,0.953050852,76,59,,,,,,,
,,,,,,,,,,,,,,,,,
779,0.01,0.978063975,37,26,0.976064367,52,30,0.982328845,75,53,,,,,,,
,,,,,,,,,,,,,,,,,
780,0.005,0.983454769,28,15,0.984498532,21,15,0.983232741,42,28,,,,,,,
,,,,,,,,,,,,,,,,,
781,0.05,0.906290295,63,46,0.909771516,68,49,0.914816078,93,64,,,,,,,
,,,,,,,,,,,,,,,,,
782,0.01,0.997374513,10,4,0.996986689,13,6,0.997580026,19,13,,,,,,,
,,,,,,,,,,,,,,,,,
783,0.005,0.990088397,24,14,0.991208586,25,15,0.993705601,48,30,,,,,,,
,,,,,,,,,,,,,,,,,
784,0.05,0.973232457,57,39,0.971047359,48,37,0.971198606,70,59,,,,,,,
,,,,,,,,,,,,,,,,,
785,0.01,0.960695366,58,37,0.960764822,55,36,0.959604094,90,58,,,,,,,
,,,,,,,,,,,,,,,,,
786,0.005,0.836551756,138,110,0.838974232,136,102,0.876634715,172,141,,,,,,,
,,,,,,,,,,,,,,,,,
787,0.05,0.950675014,56,42,0.948369861,61,39,0.937540829,90,72,,,,,,,
,,,,,,,,,,,,,,,,,
788,0.01,0.990523389,14,6,0.991239652,11,7,0.989777765,29,19,,,,,,,
,,,,,,,,,,,,,,,,,
789,0.005,0.97753577,41,23,0.97761762,39,23,0.97190118,52,36,,,,,,,
,,,,,,,,,,,,,,,,,
790,0.05,0.830570616,121,93,0.825321135,128,97,0.85012182,145,119,,,,,,,
,,,,,,,,,,,,,,,,,
791,0.01,0.944522985,49,39,0.943958621,52,32,0.957841498,73,53,,,,,,,
,,,,,,,,,,,,,,,,,
792,0.005,0.923099629,90,66,0.919386154,94,66,0.927125489,130,94,,,,,,,
,,,,,,,,,,,,,,,,,
793,0.05,0.979555376,44,24,0.978378714,44,25,0.977451919,76,54,,,,,,,
,,,,,,,,,,,,,,,,,
794,0.01,0.959996272,70,48,0.958916451,63,49,0.963219675,90,67,,,,,,,
,,,,,,,,,,,,,,,,,
795,0.005,0.988286287,19,11,0.988428263,19,9,0.990603597,34,22,,,,,,,
,,,,,,,,,,,,,,,,,
796,0.05,0.993723687,20,9,0.993227816,19,8,0.994728647,32,21,,,,,,,
,,,,,,,,,,,,,,,,,
797,0.01,0.989373767,23,10,0.989127227,21,13,0.99157323,34,19,,,,,,,
,,,,,,,,,,,,,,,,,
798,0.005,0.960275909,37,26,0.962985974,37,23,0.973047483,54,42,,,,,,,
,,,,,,,,,,,,,,,,,
799,0.05,0.978545573,28,16,0.979838772,30,16,0.984070898,49,33,,,,,,,
,,,,,,,,,,,,,,,,,
800,0.01,0.981792478,41,29,0.981283298,42,29,0.976285072,56,44,,,,,,,
,,,,,,,,,,,,,,,,,
801,0.005,0.991750687,25,15,0.991627965,31,16,0.992998919,46,32,,,,,,,
,,,,,,,,,,,,,,,,,
802,0.05,0.891780205,76,58,0.888911325,76,60,0.90047701,97,77,,,,,,,
,,,,,,,,,,,,,,,,,
803,0.01,0.996892914,14,7,0.997079884,12,4,0.99614201,26,19,,,,,,,
,,,,,,,,,,,,,,,,,
804,0.005,0.990290357,23,18,0.989562138,25,18,0.988914956,40,31,,,,,,,
,,,,,,,,,,,,,,,,,
805,0.05,0.920536283,66,48,0.919805533,65,47,0.928497767,93,71,,,,,,,
,,,,,,,,,,,,,,,,,
806,0.01,0.994484923,14,9,0.994718939,14,8,0.993385129,27,17,,,,,,,
,,,,,,,,,,,,,,,,,
807,0.005,0.981481769,32,22,0.981811404,32,24,0.982045351,52,38,,,,,,,
,,,,,,,,,,,,,,,,,
808,0.05,0.989327161,20,12,0.989422345,19,9,0.988413705,30,20,,,,,,,
,,,,,,,,,,,,,,,,,
809,0.01,0.977908621,27,14,0.977928271,22,15,0.982090546,46,27,,,,,,,
,,,,,,,,,,,,,,,,,
810,0.005,0.994702419,14,5,0.99521598,14,5,0.99587495,25,13,,,,,,,
,,,,,,,,,,,,,,,,,
811,0.05,0.923581227,75,51,0.92536618,76,55,0.911069021,102,76,,,,,,,
,,,,,,,,,,,,,,,,,
812,0.01,0.985769548,27,13,0.987263323,25,12,0.990299559,41,29,,,,,,,
,,,,,,,,,,,,,,,,,
813,0.005,0.988519318,27,21,0.988117612,27,21,0.987937105,48,35,,,,,,,
,,,,,,,,,,,,,,,,,
814,0.05,0.931209122,76,48,0.928332893,71,52,0.916504719,98,75,,,,,,,
,,,,,,,,,,,,,,,,,
815,0.01,0.991036058,30,13,0.991472639,29,14,0.9919882,41,28,,,,,,,
,,,,,,,,,,,,,,,,,
816,0.005,0.985816154,37,22,0.984591727,45,25,0.987148251,61,48,,,,,,,
,,,,,,,,,,,,,,,,,
817,0.05,0.973046032,56,37,0.973485966,55,34,0.973885641,96,65,,,,,,,
,,,,,,,,,,,,,,,,,
818,0.01,0.975951157,33,16,0.975800314,31,18,0.978815979,48,28,,,,,,,
,,,,,,,,,,,,,,,,,
819,0.005,0.990476782,30,16,0.99190755,26,15,0.994021965,43,24,,,,,,,
,,,,,,,,,,,,,,,,,
820,0.05,0.015892743,33,33,0.015749988,33,33,0.008270643,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
821,0.01,0.996100607,16,5,0.996116867,13,4,0.99468756,31,17,,,,,,,
,,,,,,,,,,,,,,,,,
822,0.005,0.997234694,13,4,0.997250742,14,4,0.995427111,25,16,,,,,,,
,,,,,,,,,,,,,,,,,
823,0.05,0.891252,91,67,0.887606592,98,67,0.91323837,121,99,,,,,,,
,,,,,,,,,,,,,,,,,
824,0.01,0.98858146,25,15,0.987993352,29,13,0.988405488,46,32,,,,,,,
,,,,,,,,,,,,,,,,,
825,0.005,0.9775047,42,28,0.975443066,45,28,0.972242195,64,45,,,,,,,
,,,,,,,,,,,,,,,,,
826,0.05,0.810483307,136,98,0.812242742,137,92,0.832426014,208,158,,,,,,,
,,,,,,,,,,,,,,,,,
827,0.01,0.996007395,13,9,0.996101334,14,7,0.996466591,25,14,,,,,,,
,,,,,,,,,,,,,,,,,
828,0.005,0.932560705,70,54,0.931392802,72,52,0.946715368,101,80,,,,,,,
,,,,,,,,,,,,,,,,,
829,0.05,0.970871072,29,20,0.968981532,31,19,0.974773102,51,39,,,,,,,
,,,,,,,,,,,,,,,,,
830,0.01,0.988193074,21,15,0.988692316,25,13,0.986860648,48,30,,,,,,,
,,,,,,,,,,,,,,,,,
831,0.005,0.986763815,27,17,0.987139063,26,17,0.987460506,39,25,,,,,,,
,,,,,,,,,,,,,,,,,
832,0.05,0.960167161,36,29,0.961292928,41,31,0.963840076,56,49,,,,,,,
,,,,,,,,,,,,,,,,,
833,0.01,0.978933959,13,8,0.979559187,16,10,0.98715236,30,18,,,,,,,
,,,,,,,,,,,,,,,,,
834,0.005,0.965122963,36,20,0.965921623,35,21,0.97528257,49,39,,,,,,,
,,,,,,,,,,,,,,,,,
835,0.05,0.711476021,129,97,0.714853761,130,99,0.757829994,167,131,,,,,,,
,,,,,,,,,,,,,,,,,
836,0.01,0.992838167,20,11,0.992171603,21,15,0.991417103,36,25,,,,,,,
,,,,,,,,,,,,,,,,,
837,0.005,0.994143143,14,7,0.993786987,16,7,0.994432826,25,16,,,,,,,
,,,,,,,,,,,,,,,,,
838,0.05,0.979400022,16,10,0.979357264,14,9,0.987057862,33,24,,,,,,,
,,,,,,,,,,,,,,,,,
839,0.01,0.988861098,21,15,0.99043196,16,13,0.991762226,40,25,,,,,,,
,,,,,,,,,,,,,,,,,
840,0.005,0.992170144,16,8,0.991690095,15,8,0.990882983,31,22,,,,,,,
,,,,,,,,,,,,,,,,,
841,0.05,0.990010719,22,8,0.991068794,20,12,0.984818666,41,28,,,,,,,
,,,,,,,,,,,,,,,,,
842,0.01,0.994811167,12,7,0.994843199,12,8,0.995003924,25,16,,,,,,,
,,,,,,,,,,,,,,,,,
843,0.005,0.990321428,16,12,0.991130924,18,12,0.99359056,26,17,,,,,,,
,,,,,,,,,,,,,,,,,
844,0.05,0.934067641,60,41,0.934654634,57,39,0.948588896,91,69,,,,,,,
,,,,,,,,,,,,,,,,,
845,0.01,0.99004179,19,16,0.990866871,17,12,0.993261871,31,21,,,,,,,
,,,,,,,,,,,,,,,,,
846,0.005,0.983827619,49,25,0.983970426,40,28,0.984950142,68,43,,,,,,,
